value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
Adria,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=4; ORGANIZATION=2,1,2
Ace Winches,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
PY 7 site clinic,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=4; LOCATION=2,1,2
Packing,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
AUT,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=6; EQUIPMENT=1; LOCATION=1,2,2
ASV,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
banksman,ORGANIZATION,moderate,EQUIPMENT; ORGANIZATION,ORGANIZATION=5; EQUIPMENT=2,1,2
offices,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=9; ORGANIZATION=2,1,2
FAC,ORGANIZATION,moderate,INJURY_TYPE; ORGANIZATION,ORGANIZATION=5; INJURY_TYPE=2,1,2
WS,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=7; LOCATION=2,1,2
stbd bell,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=2,1,2
desktop,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
EDT Hercules,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=18; ORGANIZATION=2,1,2
Helia,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
Dande Spoolbase,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; EQUIPMENT=1; ORGANIZATION=1,2,2
embound,EQUIPMENT,moderate,BODY_PART; EQUIPMENT; ORGANIZATION,EQUIPMENT=3; BODY_PART=1; ORGANIZATION=1,2,2
WCP,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=2; EQUIPMENT=1; ORGANIZATION=1,2,2
Damen Verolm Rotterdam,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=2,1,2
I-beam,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=8; LOCATION=2,1,2
shell,EQUIPMENT,moderate,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=5; BODY_PART=1; LOCATION=1,2,2
UCON,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=2,1,2
IWOCS,ORGANIZATION,moderate,EQUIPMENT; ORGANIZATION,ORGANIZATION=6; EQUIPMENT=2,1,2
WHRT,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
step,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=1; LOCATION=1,2,2
ESD,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=5; ORGANIZATION=2,1,2
WOCS,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=2; LOCATION=1; ORGANIZATION=1,2,2
ISMB,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=1; EQUIPMENT=1; LOCATION=1,2,2
emergency clinic,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
storage rack,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=7; LOCATION=2,1,2
pedestal,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=1; EQUIPMENT=1; LOCATION=1,2,2
ESS-304,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; EQUIPMENT=1; ORGANIZATION=1,2,2
Heila,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
GG001,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
GP,ORGANIZATION,high,EQUIPMENT; ORGANIZATION,ORGANIZATION=9; EQUIPMENT=2,1,2
GPS,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
Gremp,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
HCVB,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
SOCS,ORGANIZATION,high,EQUIPMENT; ORGANIZATION,ORGANIZATION=84; EQUIPMENT=2,1,2
HH,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
distribution board,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
reaction arm,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=2,1,2
HOC,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=2,1,2
HP,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
collar,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=6; EQUIPMENT=2,1,2
radiator,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=5; BODY_PART=2,1,2
Global 1200,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=93; ORGANIZATION=2,1,2
Theodore Spoolbase,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=155; ORGANIZATION=2,1,2
computer,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=8; LOCATION=2,1,2
devidoir,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=1; EQUIPMENT=1; LOCATION=1,2,2
WC,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=6; ORGANIZATION=2,1,2
stalk rack,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=9; LOCATION=2,1,2
HXT,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=2; LOCATION=1; ORGANIZATION=1,2,2
GUARDRAIL,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=4; BODY_PART=2,1,2
downline,EQUIPMENT,moderate,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=3; BODY_PART=1; LOCATION=1,2,2
UR,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
Gremp clinic,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=7; LOCATION=2,1,2
