id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key
f1da3526-0e02-4776-adf3-9601aad1d4b7,2c755400-3032-4c85-bfbf-fbadc0a163a3,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9107142857142857,685643|879|068107|001,661505|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,685643|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,685643|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,685643|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
acb62c45-b6aa-4656-8bfe-7ec388e18a17,9e634f6c-d829-433a-a2ce-0b31d78a1496,INCIDENT_TYPE,INCIDENT 643530 - ENVIRONMENTAL INCIDENT AT TP UMBILICAL FACTORY,INCIDENT 651288 - ENVIRONMENTAL INCIDENT AT TP UMBILICAL FACTORY,0.9292929292929293,643530,651288,0.0,INCIDENT_TYPE|INCIDENT|15
acb62c45-b6aa-4656-8bfe-7ec388e18a17,cc7fe14a-be9c-4c96-b3eb-32a837b4a040,INCIDENT_TYPE,INCIDENT 643530 - ENVIRONMENTAL INCIDENT AT TP UMBILICAL FACTORY,INCIDENT 653114 - ENVIRONMENTAL SPILLAGE AT TP UMBILICAL FACTORY,0.9292929292929293,643530,653114,0.0,INCIDENT_TYPE|INCIDENT|15
52a0c922-10ab-4201-980e-20838f3098e2,1f37ade6-1ab6-44e1-9649-3c4d234a42c5,INCIDENT_TYPE,INCIDENT 707399 - RIGID PIPE MOVEMENT DURING LAND TRANSPORTATION,INCIDENT 707330 - RIGID PIPE MOVEMENT DURING LAND TRANSPORTATION,0.967741935483871,707399,707330,0.0,INCIDENT_TYPE|INCIDENT|15
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,0.9421487603305785,645925|879|068107|001,645924|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,d1c26f86-3110-4594-afb0-e042bb3d8bbd,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,645925|879|068107|001,670917|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,2c755400-3032-4c85-bfbf-fbadc0a163a3,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,0.926829268292683,645925|879|068107|001,661505|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
