is_match,id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key,risk_score,num_mismatch
,a36e13b7-2c9b-4c1f-abcb-9162d693e8c5,426352a3-b914-44a7-8a48-3dd5f27f0397,BODY_PART,RIGHT HAND (4TH FINGER),RIGHT HAND - 5TH FINGER,0.9523809523809524,4,5,0.0,BODY_PART|RIGHT|5,0.9523809523809524,True
,a36e13b7-2c9b-4c1f-abcb-9162d693e8c5,e7d1afdf-6b7d-494a-af3d-4a8b852e341f,BODY_PART,RIGHT HAND (4TH FINGER),"RIGHT HAND, 5TH FINGER",0.9523809523809524,4,5,0.0,BODY_PART|RIGHT|5,0.9523809523809524,True
,7ac0e3b7-c7bd-4812-9068-f9b8ab42e18f,426352a3-b914-44a7-8a48-3dd5f27f0397,BODY_PART,"RIGHT HAND, 4TH FINGER",RIGHT HAND - 5TH FINGER,0.9523809523809524,4,5,0.0,BODY_PART|RIGHT|5,0.9523809523809524,True
,7ac0e3b7-c7bd-4812-9068-f9b8ab42e18f,e7d1afdf-6b7d-494a-af3d-4a8b852e341f,BODY_PART,"RIGHT HAND, 4TH FINGER","RIGHT HAND, 5TH FINGER",0.9523809523809524,4,5,0.0,BODY_PART|RIGHT|5,0.9523809523809524,True
,a39fd497-be81-46d2-aff4-08294a09a5aa,4d89a54d-5ddc-4eda-a282-9106c4033000,LOCATION,BUILDING 1,BUILDING 71,0.9523809523809524,1,71,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,a39fd497-be81-46d2-aff4-08294a09a5aa,a15cbeae-1101-450c-9886-9b087bd9f4ac,LOCATION,BUILDING 1,BUILDING 15,0.9523809523809524,1,15,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,a39fd497-be81-46d2-aff4-08294a09a5aa,ceacb68c-e128-49d0-a352-67925bb48f41,LOCATION,BUILDING 1,BUILDING 16,0.9523809523809524,1,16,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,a39fd497-be81-46d2-aff4-08294a09a5aa,f4ff0fb5-e653-4d7b-ab89-bcb2ea312943,LOCATION,BUILDING 1,BUILDING 14,0.9523809523809524,1,14,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,a39fd497-be81-46d2-aff4-08294a09a5aa,cd030250-9dee-46e2-a329-bbcf03c24e38,LOCATION,BUILDING 1,BUILDING 11,0.9523809523809524,1,11,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,4d89a54d-5ddc-4eda-a282-9106c4033000,c8b9d255-1c8e-43d9-9787-1f6ca324145d,LOCATION,BUILDING 71,BUILDING 7,0.9523809523809524,71,7,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,4d89a54d-5ddc-4eda-a282-9106c4033000,7fb8c4cd-e941-4866-a051-d1760511c785,LOCATION,BUILDING 71,BUILDING #7,0.9523809523809524,71,7,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,4d89a54d-5ddc-4eda-a282-9106c4033000,966ce4c6-bb72-4986-88c7-8bc17527df0d,LOCATION,BUILDING 71,BUILDING #1,0.9523809523809524,71,1,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,819a9bfd-4052-4938-8652-9c1a28e87b0a,ceacb68c-e128-49d0-a352-67925bb48f41,LOCATION,BUILDING 6,BUILDING 16,0.9523809523809524,6,16,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,819a9bfd-4052-4938-8652-9c1a28e87b0a,09c560d1-e56e-4103-a5a4-951e087ad268,LOCATION,BUILDING 6,BUILDING 46,0.9523809523809524,6,46,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,a15cbeae-1101-450c-9886-9b087bd9f4ac,966ce4c6-bb72-4986-88c7-8bc17527df0d,LOCATION,BUILDING 15,BUILDING #1,0.9523809523809524,15,1,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,ceacb68c-e128-49d0-a352-67925bb48f41,966ce4c6-bb72-4986-88c7-8bc17527df0d,LOCATION,BUILDING 16,BUILDING #1,0.9523809523809524,16,1,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,f4ff0fb5-e653-4d7b-ab89-bcb2ea312943,966ce4c6-bb72-4986-88c7-8bc17527df0d,LOCATION,BUILDING 14,BUILDING #1,0.9523809523809524,14,1,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,cd030250-9dee-46e2-a329-bbcf03c24e38,966ce4c6-bb72-4986-88c7-8bc17527df0d,LOCATION,BUILDING 11,BUILDING #1,0.9523809523809524,11,1,0.0,LOCATION|BUILDING|2,0.9523809523809524,True
,de29f5a3-fd51-4175-bbd8-774365d1dcfb,c8942cba-83de-4e73-a7f9-0d9a578ac689,LOCATION,WORKSHOP 14,WORKSHOP 1,0.9523809523809524,14,1,0.0,LOCATION|WORKSHOP|2,0.9523809523809524,True
,78a48b20-ab29-4361-8005-dacf8dc9158c,26182298-8c4b-4542-a634-8454a718410e,LOCATION,COMPRESSOR BUILDING 2,COMPRESSOR BUILDING 3,0.9523809523809524,2,3,0.0,LOCATION|COMPRESSOR|5,0.9523809523809524,True
,642023ae-6fd0-4a25-9ab8-7e11fdbf821b,6343a30d-d340-46a2-a724-380b5edd169f,LOCATION,SWELL DIRECTION: 020° T,SWELL DIRECTION:   210°T,0.9523809523809524,020,210,0.0,LOCATION|SWELL|5,0.9523809523809524,True
,fe4deaf2-a56a-4743-b38c-23c619e68078,1820f016-934f-4b56-aa7f-da0f15f00cb2,ORGANIZATION,EMPLOYEE (PEDESTRIAN 1),EMPLOYEE (PEDESTRIAN 2),0.9523809523809524,1,2,0.0,ORGANIZATION|EMPLOYEE|5,0.9523809523809524,True
,86926afd-a054-4337-a976-21af0f86a206,d5853ca2-34e7-401a-8d4e-6cc4bafc697c,BODY_PART,LEFT HAND 4TH FINGER,LEFT HAND 5TH FINGER,0.95,4,5,0.0,BODY_PART|LEFT|5,0.95,True
,0fb30da1-3f71-49cc-8cbf-37652011119c,3edc1eb9-2a5f-4504-b520-2f75c427b1a0,LOCATION,TRAIN 1 COMPRESSOR A,"TRAIN 3, COMPRESSOR A",0.95,1,3,0.0,LOCATION|TRAIN|5,0.95,True
,18ff894f-3109-4f95-bbb6-2bf6403afe51,3599ee79-4b2f-44f9-aeb2-a63bcc6d1222,ORGANIZATION,EMPLOYEE (ID 10035876),EMPLOYEE (ID# 10034876),0.95,10035876,10034876,0.0,ORGANIZATION|EMPLOYEE|5,0.95,True
,6737d45f-99cc-40f0-bf9f-6464089f7129,313e8e7b-9464-43bc-9550-de88d953e042,ORGANIZATION,EMPLOYEE (ID 30803350),EMPLOYEE (ID# 30803505),0.95,30803350,30803505,0.0,ORGANIZATION|EMPLOYEE|5,0.95,True
,6737d45f-99cc-40f0-bf9f-6464089f7129,30371f6a-18e2-40d6-acc2-80d5826070a5,ORGANIZATION,EMPLOYEE (ID 30803350),EMPLOYEE ID 30803370,0.95,30803350,30803370,0.0,ORGANIZATION|EMPLOYEE|5,0.95,True
,b5e21b06-d33a-42f2-99e2-9d94f5c36a70,2ab34670-df64-45d0-ba4a-5a6607c81ae9,ORGANIZATION,EMPLOYEE ID # 10023210,EMPLOYEE ID 10024210,0.95,10023210,10024210,0.0,ORGANIZATION|EMPLOYEE|5,0.95,True
