entity_type,entity_a_id,entity_a_value,entity_a_degree,entity_b_id,entity_b_value,entity_b_degree,similarity_score,merge_rule,combined_degree
EQUIPMENT,EQUIPMENT::CRANE,crane,620,EQUIPMENT::CRANES,cranes,3,1.0,exact_normalized,623
BODY_PART,BODY_PART::LEFT HAND,left hand,423,BODY_PART::HAND,hand,182,1.0,laterality_strip,605
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::BASIC ORGANISATIONAL - EQUIPMENT SUITABILITY,Basic Organisational - Equipment Suitability,383,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - TOOL SUITABILITY,Basic Organizational - Tool suitability,193,0.8434,jaro_winkler,576
BODY_PART,BODY_PART::RIGHT HAND,right hand,358,BODY_PART::HAND,hand,182,1.0,laterality_strip,540
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL,Basic Organizational,1,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - PLANNING AND COORDINATION OF WORKS,Basic Organizational - Planning and coordination of works,538,0.5195,substring_match,539
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::EQUIPMENT SUITABILITY,Equipment Suitability,154,ROOT_CAUSE_CATEGORY::BASIC ORGANISATIONAL - EQUIPMENT SUITABILITY,Basic Organisational - Equipment Suitability,383,0.6462,substring_match,537
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::WORK ENVIRONMENT - MOTOR VEHICLE WORKSITE ACCIDENT,Work environment - Motor Vehicle Worksite Accident,233,ROOT_CAUSE_CATEGORY::WORK ENVIRONMENT - MOTOR VEHICLE ROAD ACCIDENT,Work environment - Motor Vehicle Road Accident,296,0.8958,jaro_winkler,529
ORGANIZATION,ORGANIZATION::PETROBRAS,PETROBRAS,521,ORGANIZATION::PETROBAS,Petrobas,1,0.9412,jaro_winkler,522
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::FALL TO LOWER LEVEL / FALL TO WATER / LOOSE MATERIALS (E.G. SILOS WITH GRANULATE),Fall to lower level / fall to water / loose materials (e.g. silos with granulate),72,ROOT_CAUSE_CATEGORY::WORK ENVIRONMENT - FALL TO LOWER LEVEL / FALL TO WATER / LOOSE MATERIALS (E.G. SILOS WITH GRANULATE),Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),442,0.895,substring_match,514
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::MOTOR VEHICLE ROAD ACCIDENT,Motor Vehicle Road Accident,193,ROOT_CAUSE_CATEGORY::WORK ENVIRONMENT - MOTOR VEHICLE ROAD ACCIDENT,Work environment - Motor Vehicle Road Accident,296,0.7397,substring_match,489
ORGANIZATION,ORGANIZATION::TECHNIP FMC,TECHNIP FMC,145,ORGANIZATION::TFMC,TFMC,336,0.9524,near_exact,481
BODY_PART,BODY_PART::LEFT HAND,left hand,423,BODY_PART::HANDS,hands,31,1.0,laterality_strip,454
ORGANIZATION,ORGANIZATION::TECHNIPFMC UMBILICALS LTD,TECHNIPFMC UMBILICALS LTD,281,"ORGANIZATION::TECHNIPFMC UMBILICALS, INC.","TechnipFMC Umbilicals, Inc.",147,0.9767,near_exact,428
